Date,time_of_day,MachineName,ustanov,bez_ustanova,rabotal
2022-02-27,День,VCENTR-102,2987.0,5839.0,34374.0
2022-02-27,День,VCENTR-70,0.0,43200.0,0.0
2022-02-27,День,VTM9,208.0,32128.0,10864.0
2022-02-27,Ночь,CK50,4362.0,10519.0,28319.0
2022-02-27,Ночь,V20,0.0,43200.0,0.0
2022-02-27,Ночь,V26/60_1,7347.0,8456.0,27397.0
2022-02-27,Ночь,V26/60_2,13280.0,11222.0,18698.0
2022-02-27,Ночь,V26/85,6021.0,4547.0,32632.0
2022-02-27,Ночь,VCENTR-102,2005.0,4591.0,36604.0
2022-02-27,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-02-27,Ночь,VTM9,0.0,42425.0,775.0
2022-02-28,День,CK50,6010.0,14826.0,22364.0
2022-02-28,День,V20,0.0,43200.0,0.0
2022-02-28,День,V26/60_1,5424.0,8833.0,28943.0
2022-02-28,День,V26/60_2,6427.0,16915.0,19858.0
2022-02-28,День,V26/85,1875.0,18675.0,22650.0
2022-02-28,День,VCENTR-102,2591.0,8020.0,32589.0
2022-02-28,День,VCENTR-70,3764.0,33614.0,5822.0
2022-02-28,День,VTM9,841.0,31515.0,10844.0
2022-02-28,Ночь,CK50,5619.0,6912.0,30669.0
2022-02-28,Ночь,V20,0.0,43200.0,0.0
2022-02-28,Ночь,V26/60_1,7468.0,7045.0,28687.0
2022-02-28,Ночь,V26/60_2,5499.0,13170.0,24531.0
2022-02-28,Ночь,V26/85,5567.0,4025.0,33608.0
2022-02-28,Ночь,VCENTR-102,2088.0,7188.0,33924.0
2022-02-28,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-02-28,Ночь,VTM9,0.0,41047.0,2153.0
2022-03-01,День,CK50,6001.0,18510.0,18689.0
2022-03-01,День,V20,0.0,43200.0,0.0
2022-03-01,День,V26/60_1,6416.0,5006.0,31778.0
2022-03-01,День,V26/60_2,5444.0,9384.0,28372.0
2022-03-01,День,V26/85,2339.0,11033.0,29828.0
2022-03-01,День,VCENTR-102,2871.0,15054.0,25275.0
2022-03-01,День,VCENTR-70,6182.0,29009.0,8009.0
2022-03-01,День,VTM9,3938.0,32807.0,6455.0
2022-03-01,Ночь,CK50,3811.0,14165.0,25224.0
2022-03-01,Ночь,V20,0.0,43200.0,0.0
2022-03-01,Ночь,V26/60_1,6236.0,11511.0,25453.0
2022-03-01,Ночь,V26/60_2,5755.0,13901.0,23544.0
2022-03-01,Ночь,V26/85,4975.0,15100.0,23125.0
2022-03-01,Ночь,VCENTR-102,3875.0,5680.0,33645.0
2022-03-01,Ночь,VCENTR-70,3048.0,34170.0,5982.0
